+-------------+----------+-------------------+---------+--------+-----------------+---------+------------+---------+-------------------+
|TransactionID|CustomerID|               Date|   Amount|Currency|  TransactionType|   Status|Counterparty| Location|          Timestamp|
+-------------+----------+-------------------+---------+--------+-----------------+---------+------------+---------+-------------------+
|      TXN3594|   CUST037|2024-02-09 00:00:00| -4800.54|     INR|    Transfer Sent|Completed|        Bank|  Lucknow|2024-02-09 00:00:00|
|      TXN2426|   CUST001|2024-02-02 00:00:00|  45864.1|     INR|Transfer Received|Completed|         ATM|   Jaipur|2024-02-02 00:00:00|
|      TXN3177|   CUST036|2024-02-24 00:00:00| -7743.51|     INR|    Transfer Sent|Completed|         ATM|   Mumbai|2024-02-24 00:00:00|
|      TXN4349|   CUST004|2024-02-09 00:00:00| -29005.1|     INR|       Withdrawal|Completed|         ATM|   Mumbai|2024-02-09 00:00:00|
|      TXN3212|   CUST016|2024-02-05 00:00:00| -34391.9|     INR|       Withdrawal|Completed|        Bank|Hyderabad|2024-02-05 00:00:00|
|      TXN7690|   CUST050|2024-02-04 00:00:00|-36934.42|     INR|    Transfer Sent|Completed|     CUST042|Ahmedabad|2024-02-04 00:00:00|
|      TXN3017|   CUST044|2024-02-05 00:00:00|-13566.36|     INR|    Transfer Sent|Completed|         ATM|  Chennai|2024-02-05 00:00:00|
|      TXN3000|   CUST024|2024-02-18 00:00:00|-40263.73|     INR|    Transfer Sent|Completed|         ATM|   Mumbai|2024-02-18 00:00:00|
|      TXN9097|   CUST038|2024-02-28 00:00:00|-26835.09|     INR|       Withdrawal|Completed|        Bank|    Delhi|2024-02-28 00:00:00|
|      TXN3948|   CUST007|2024-02-22 00:00:00| 21132.85|     INR|          Deposit|Completed|        Bank|     Pune|2024-02-22 00:00:00|
|      TXN1441|   CUST024|2024-02-12 00:00:00|  7519.09|     INR|          Deposit|Completed|        Bank|Bangalore|2024-02-12 00:00:00|
